id,pagerank
4037,32.594991861511566
6634,29.983324850197288
15,27.01099302107744
2625,25.133148331225353
2398,20.3858798963518
2237,17.227811622240598
4191,17.03648435602264
2470,16.778358364336555
7553,16.316264173490307
5254,15.893398419854801
5412,15.518357237551621
2328,15.286204198470417
4335,15.199839127875444
7632,15.017750744762823
1297,14.949092788886567
6946,14.818780349413432
7620,14.421874974562842
4875,13.900184206163791
1186,13.808787665970264
2066,13.772190591464758
6832,13.657565747768734
3352,13.493760185325971
737,13.486780600582332
3089,13.306234645331807
762,13.249174422730302
2654,12.565212299408064
8042,12.522436537149144
4735,12.49292156321982
3334,12.492640334846271
2535,12.487664982153461
7092,12.238090714981881
28,11.829525039615016
2565,11.767383612478309
5484,11.64845543510122
8293,11.634629425064972
214,11.628676369133101
4310,11.452232888893807
3456,11.18430379798932
6774,11.085510274814549
665,10.988033694771758
5233,10.764736972343167
8163,10.759559036633336
4712,10.758373487482617
4828,10.754968452534689
1211,10.700581905291486
5404,10.616838944667483
5423,10.614350572660616
2657,10.26552858817217
1549,10.011388958788318
5079,9.957225748715132
3459,9.718669067636032
3084,9.701936834846677
271,9.55956175979556
6914,9.518763674514949
5210,9.498739899904818
5123,9.27823841619734
993,9.148221025487342
3562,9.128271170288913
4666,9.058571786374333
2958,8.9824393483164
4261,8.90378056893777
2746,8.86871370866647
3117,8.854764665739623
1026,8.6559790959737
2576,8.630112129943116
1842,8.623258525730126
3897,8.511828580553507
3537,8.489476374113222
2651,8.44897750984047
4400,8.337833066888134
5022,8.309954547332696
7699,8.260057782713078
4536,8.247003298301662
3568,8.200374836684382
4110,8.177338939876476
2285,8.156153514983723
1031,8.100624716374393
2859,8.098867803867828
922,8.03090022912789
3443,8.004255965286633
5459,7.996931220880925
3976,7.983075755427028
2871,7.902174968199276
299,7.892977275370685
2643,7.81453605011763
2485,7.800553717830029
1385,7.798316646551053
3755,7.769720227442617
5543,7.753242562771539
3898,7.742380492124803
3034,7.740742900947987
4256,7.724582775575865
1633,7.688014035536118
4600,7.682612725229823
4687,7.6813966539625085
3238,7.660759096778934
7890,7.598538361917363
2323,7.5843002289712125
282,7.580495120619231
1855,7.519084455626093
6006,7.4864304807367965
4981,7.4199976160650625
6784,7.406691257539085
825,7.37723775709449
1726,7.3705731043035945
4983,7.267642096918466
3498,7.264881537941544
6334,7.160836777369169
8294,7.138982746130945
3192,7.1175141072376
